D2006285000100001000000000004530243005200601250520062378                REFERENTE A FORNECIMENTO DE LANCHES.                                                                                    D-1      2    3008200730052006                                                                                                                                                                          
D2006285000100002000000000007980002203200601060320065430                REFERENTE A LOCAÇÃO DE EQUIPAMENTOS.                                                                                    SERVIÇOS UNICO1711200722032006                                                                                                                                                                          
D20062850115000380000000000002382024022006012402200698237               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000001139023022006012302200698238               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000002300023022006012302200698239               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000005380023022006012302200698240               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000017880024022006012402200698241               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000600024022006012402200698242               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000240023022006012302200698243               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000009050023022006012302200698244               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000000360023022006012302200698245               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000000480024022006012402200698246               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000001924023022006012302200698247               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000002142023022006012302200698248               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000000962023022006012302200698249               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000004500023022006012302200698250               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000000120023022006012302200698251               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000000962023022006012302200698252               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000008200023022006012302200698253               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000000360024022006012402200698254               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000009000023022006012302200698255               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000000360024022006012402200698256               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000008200023022006012302200698257               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000004500023022006012302200698258               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000008200024022006012402200698259               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000008200023022006012302200698260               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000002856023022006012302200698261               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000008940024022006012402200698262               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000008200024022006012402200698263               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000008200023022006012302200698264               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000009050023022006012302200698265               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000002640023022006012302200698266               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000000240023022006012302200698267               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000002300023022006012302200698268               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000002856023022006012302200698269               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000000360023022006012302200698270               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000000962023022006012302200698272               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000000240023022006012302200698273               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200723022006                                                                                                                                                                          
D20062850115000380000000000024130024022006012402200698391               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000073020024022006012402200698392               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000720024022006012402200698393               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000240024022006012402200698394               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000027080024022006012402200698766               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000190024022006012402200698768               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000008458024022006012402200698769               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000002820024022006012402200698770               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000005942024022006012402200698771               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000003826424022006012402200698773               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000006095724022006012402200698774               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000962024022006012402200698775               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000962024022006012402200698776               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000962024022006012402200698777               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000004500024022006012402200698778               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000003900024022006012402200698779               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000017689024022006012402200698783               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000004500024022006012402200698784               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000962024022006012402200698785               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000004500024022006012402200698786               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000962024022006012402200698787               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000001259024022006012402200698788               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000001199024022006012402200698789               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000216024022006012402200698790               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000009050024022006012402200698791               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000120024022006012402200698792               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000001040024022006012402200698793               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000001199024022006012402200698794               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000009050024022006012402200698795               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000240024022006012402200698796               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000002300024022006012402200698797               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000005250224022006012402200698798               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000240024022006012402200698799               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000004500024022006012402200698800               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000004600024022006012402200698801               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000001924024022006012402200698802               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000018651024022006012402200698803               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000005250224022006012402200698804               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000010189024022006012402200698805               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000001139024022006012402200698806               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000240024022006012402200698807               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000002700024022006012402200698808               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000001428024022006012402200698809               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000009050024022006012402200698810               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000962024022006012402200698811               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000276024022006012402200698812               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000001428024022006012402200698813               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000240024022006012402200699712               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000360024022006012402200699714               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000962024022006012402200699717               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000001500024022006012402200699718               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000360024022006012402200699719               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000004500024022006012402200699720               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000240024022006012402200699721               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000004500024022006012402200699723               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000001128024022006012402200699726               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000005250224022006012402200699727               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000962024022006012402200699730               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000001500024022006012402200699744               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000240024022006012402200699745               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000008200024022006012402200699746               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000240024022006012402200699750               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000240024022006012402200699751               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000120024022006012402200699752               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000120024022006012402200699753               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000009050024022006012402200699754               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000240024022006012402200699759               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000006095724022006012402200699864               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000004500024022006012402200699865               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000001139024022006012402200699870               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000006000024022006012402200699887               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000016100024022006012402200699888               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000007560024022006012402200699890               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000004209024022006012402200699891               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000190024022006012402200699892               Referente a Regularização de despesas,"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi p1        1    2803200724022006                                                                                                                                                                          
D20062850115000380000000000000190006032006010603200699893               Referemte a Regularização de despesas"Conforme o Art. 37, lei 4320/64, haja vista que a despesa ora empenhada não foi pr1        1    2803200706032006                                                                                                                                                                          
D2006285011500039000000000002308920703200601070320061390 - ISSQN        REFERENTE AO DESCONTO DO ISSQN, RELATIVO AO MES DE JANEIRO DE 2006.                                                     SERVIÇOS UNICO0507200707032006                                                                                                                                                                          
D2006285011500039000000000000769640703200601070320061390 - LIQUIDO      REFERENTE A PARTE DO LIQUIDO DO MES DE JANEIRO DE 2006.                                                                 SERVIÇOS UNICO0507200707032006                                                                                                                                                                          
